kecamatan,periode,jumlah_kasus,tahun,bulan,nama_bulan,musim
Cakung,2024-12-01,1,2024,12,December,Musim Hujan
Cakung,2025-01-01,3,2025,1,January,Musim Hujan
Cakung,2025-02-01,16,2025,2,February,Musim Hujan
Cakung,2025-03-01,30,2025,3,March,Pancaroba I
Cakung,2025-04-01,64,2025,4,April,Pancaroba I
Cakung,2025-05-01,107,2025,5,May,Pancaroba I
Cakung,2025-06-01,85,2025,6,June,Musim Kemarau
Cakung,2025-07-01,128,2025,7,July,Musim Kemarau
Cakung,2025-08-01,95,2025,8,August,Musim Kemarau
Cakung,2025-09-01,40,2025,9,September,Pancaroba II
Cakung,2025-10-01,24,2025,10,October,Pancaroba II
Cakung,2025-11-01,13,2025,11,November,Pancaroba II
Cakung,2025-12-01,10,2025,12,December,Musim Hujan
Cempaka Putih,2010-01-01,32,2010,1,January,Musim Hujan
Cempaka Putih,2010-02-01,23,2010,2,February,Musim Hujan
Cempaka Putih,2010-03-01,38,2010,3,March,Pancaroba I
Cempaka Putih,2010-04-01,26,2010,4,April,Pancaroba I
Cempaka Putih,2010-05-01,23,2010,5,May,Pancaroba I
Cempaka Putih,2010-06-01,15,2010,6,June,Musim Kemarau
Cempaka Putih,2010-07-01,11,2010,7,July,Musim Kemarau
Cempaka Putih,2010-08-01,20,2010,8,August,Musim Kemarau
Cempaka Putih,2010-09-01,24,2010,9,September,Pancaroba II
Cempaka Putih,2010-10-01,17,2010,10,October,Pancaroba II
Cempaka Putih,2010-11-01,29,2010,11,November,Pancaroba II
Cempaka Putih,2010-12-01,18,2010,12,December,Musim Hujan
Cempaka Putih,2011-01-01,13,2011,1,January,Musim Hujan
Cempaka Putih,2011-02-01,10,2011,2,February,Musim Hujan
Cempaka Putih,2011-03-01,11,2011,3,March,Pancaroba I
Cempaka Putih,2011-04-01,5,2011,4,April,Pancaroba I
Cempaka Putih,2011-05-01,9,2011,5,May,Pancaroba I
Cempaka Putih,2011-06-01,6,2011,6,June,Musim Kemarau
Cempaka Putih,2011-07-01,7,2011,7,July,Musim Kemarau
Cempaka Putih,2011-08-01,6,2011,8,August,Musim Kemarau
Cempaka Putih,2011-09-01,5,2011,9,September,Pancaroba II
Cempaka Putih,2011-10-01,3,2011,10,October,Pancaroba II
Cempaka Putih,2011-11-01,3,2011,11,November,Pancaroba II
Cempaka Putih,2011-12-01,2,2011,12,December,Musim Hujan
Cempaka Putih,2012-01-01,8,2012,1,January,Musim Hujan
Cempaka Putih,2012-02-01,11,2012,2,February,Musim Hujan
Cempaka Putih,2012-03-01,15,2012,3,March,Pancaroba I
Cempaka Putih,2012-04-01,11,2012,4,April,Pancaroba I
Cempaka Putih,2012-05-01,9,2012,5,May,Pancaroba I
Cempaka Putih,2012-06-01,8,2012,6,June,Musim Kemarau
Cempaka Putih,2012-07-01,1,2012,7,July,Musim Kemarau
Cempaka Putih,2012-08-01,3,2012,8,August,Musim Kemarau
Cempaka Putih,2012-09-01,4,2012,9,September,Pancaroba II
Cempaka Putih,2012-10-01,1,2012,10,October,Pancaroba II
Cempaka Putih,2012-11-01,0,2012,11,November,Pancaroba II
Cempaka Putih,2012-12-01,1,2012,12,December,Musim Hujan
Cempaka Putih,2013-01-01,3,2013,1,January,Musim Hujan
Cempaka Putih,2013-02-01,4,2013,2,February,Musim Hujan
Cempaka Putih,2013-03-01,6,2013,3,March,Pancaroba I
Cempaka Putih,2013-04-01,15,2013,4,April,Pancaroba I
Cempaka Putih,2013-05-01,14,2013,5,May,Pancaroba I
Cempaka Putih,2013-06-01,6,2013,6,June,Musim Kemarau
Cempaka Putih,2013-07-01,11,2013,7,July,Musim Kemarau
Cempaka Putih,2013-08-01,15,2013,8,August,Musim Kemarau
Cempaka Putih,2013-09-01,9,2013,9,September,Pancaroba II
Cempaka Putih,2013-10-01,3,2013,10,October,Pancaroba II
Cempaka Putih,2013-11-01,3,2013,11,November,Pancaroba II
Cempaka Putih,2013-12-01,0,2013,12,December,Musim Hujan
Cempaka Putih,2014-01-01,14,2014,1,January,Musim Hujan
Cempaka Putih,2014-02-01,16,2014,2,February,Musim Hujan
Cempaka Putih,2014-03-01,14,2014,3,March,Pancaroba I
Cempaka Putih,2014-04-01,27,2014,4,April,Pancaroba I
Cempaka Putih,2014-05-01,19,2014,5,May,Pancaroba I
Cempaka Putih,2014-06-01,1,2014,6,June,Musim Kemarau
Cempaka Putih,2014-07-01,2,2014,7,July,Musim Kemarau
Cempaka Putih,2014-08-01,1,2014,8,August,Musim Kemarau
Cempaka Putih,2014-09-01,3,2014,9,September,Pancaroba II
Cempaka Putih,2014-10-01,1,2014,10,October,Pancaroba II
Cempaka Putih,2014-11-01,1,2014,11,November,Pancaroba II
Cempaka Putih,2014-12-01,0,2014,12,December,Musim Hujan
Cempaka Putih,2015-01-01,7,2015,1,January,Musim Hujan
Cempaka Putih,2015-02-01,4,2015,2,February,Musim Hujan
Cempaka Putih,2015-03-01,3,2015,3,March,Pancaroba I
Cempaka Putih,2015-04-01,13,2015,4,April,Pancaroba I
Cempaka Putih,2015-05-01,11,2015,5,May,Pancaroba I
Cempaka Putih,2015-06-01,9,2015,6,June,Musim Kemarau
Cempaka Putih,2015-07-01,0,2015,7,July,Musim Kemarau
Cempaka Putih,2015-08-01,1,2015,8,August,Musim Kemarau
Cempaka Putih,2015-09-01,2,2015,9,September,Pancaroba II
Cempaka Putih,2015-10-01,0,2015,10,October,Pancaroba II
Cempaka Putih,2015-11-01,3,2015,11,November,Pancaroba II
Cempaka Putih,2015-12-01,3,2015,12,December,Musim Hujan
Cempaka Putih,2016-01-01,10,2016,1,January,Musim Hujan
Cempaka Putih,2016-02-01,5,2016,2,February,Musim Hujan
Cempaka Putih,2016-03-01,12,2016,3,March,Pancaroba I
Cempaka Putih,2016-04-01,32,2016,4,April,Pancaroba I
Cempaka Putih,2016-05-01,20,2016,5,May,Pancaroba I
Cempaka Putih,2016-06-01,11,2016,6,June,Musim Kemarau
Cempaka Putih,2016-07-01,11,2016,7,July,Musim Kemarau
Cempaka Putih,2016-08-01,16,2016,8,August,Musim Kemarau
Cempaka Putih,2016-09-01,7,2016,9,September,Pancaroba II
Cempaka Putih,2016-10-01,4,2016,10,October,Pancaroba II
Cempaka Putih,2016-11-01,6,2016,11,November,Pancaroba II
Cempaka Putih,2016-12-01,7,2016,12,December,Musim Hujan
Cempaka Putih,2017-01-01,6,2017,1,January,Musim Hujan
Cempaka Putih,2017-02-01,3,2017,2,February,Musim Hujan
Cempaka Putih,2017-03-01,1,2017,3,March,Pancaroba I
Cempaka Putih,2017-04-01,0,2017,4,April,Pancaroba I
Cempaka Putih,2017-05-01,0,2017,5,May,Pancaroba I
Cempaka Putih,2017-06-01,2,2017,6,June,Musim Kemarau
Cempaka Putih,2017-07-01,0,2017,7,July,Musim Kemarau
Cempaka Putih,2017-08-01,1,2017,8,August,Musim Kemarau
Cempaka Putih,2017-09-01,0,2017,9,September,Pancaroba II
Cempaka Putih,2017-10-01,1,2017,10,October,Pancaroba II
Cempaka Putih,2017-11-01,0,2017,11,November,Pancaroba II
Cempaka Putih,2017-12-01,2,2017,12,December,Musim Hujan
Cempaka Putih,2018-01-01,3,2018,1,January,Musim Hujan
Cempaka Putih,2018-02-01,1,2018,2,February,Musim Hujan
Cempaka Putih,2018-03-01,3,2018,3,March,Pancaroba I
Cempaka Putih,2018-04-01,4,2018,4,April,Pancaroba I
Cempaka Putih,2018-05-01,3,2018,5,May,Pancaroba I
Cempaka Putih,2018-06-01,2,2018,6,June,Musim Kemarau
Cempaka Putih,2018-07-01,2,2018,7,July,Musim Kemarau
Cempaka Putih,2018-08-01,0,2018,8,August,Musim Kemarau
Cempaka Putih,2018-09-01,0,2018,9,September,Pancaroba II
Cempaka Putih,2018-10-01,0,2018,10,October,Pancaroba II
Cempaka Putih,2018-11-01,0,2018,11,November,Pancaroba II
Cempaka Putih,2018-12-01,0,2018,12,December,Musim Hujan
Cempaka Putih,2019-01-01,4,2019,1,January,Musim Hujan
Cempaka Putih,2019-02-01,14,2019,2,February,Musim Hujan
Cempaka Putih,2019-03-01,14,2019,3,March,Pancaroba I
Cempaka Putih,2019-04-01,9,2019,4,April,Pancaroba I
Cempaka Putih,2019-05-01,15,2019,5,May,Pancaroba I
Cempaka Putih,2019-06-01,2,2019,6,June,Musim Kemarau
Cempaka Putih,2019-07-01,2,2019,7,July,Musim Kemarau
Cempaka Putih,2019-08-01,1,2019,8,August,Musim Kemarau
Cempaka Putih,2019-09-01,0,2019,9,September,Pancaroba II
Cempaka Putih,2019-10-01,0,2019,10,October,Pancaroba II
Cempaka Putih,2019-11-01,0,2019,11,November,Pancaroba II
Cempaka Putih,2019-12-01,0,2019,12,December,Musim Hujan
Cempaka Putih,2020-01-01,1,2020,1,January,Musim Hujan
Cempaka Putih,2020-02-01,4,2020,2,February,Musim Hujan
Cempaka Putih,2020-03-01,15,2020,3,March,Pancaroba I
Cempaka Putih,2020-04-01,18,2020,4,April,Pancaroba I
Cempaka Putih,2020-05-01,8,2020,5,May,Pancaroba I
Cempaka Putih,2020-06-01,3,2020,6,June,Musim Kemarau
Cempaka Putih,2020-07-01,0,2020,7,July,Musim Kemarau
Cempaka Putih,2020-08-01,0,2020,8,August,Musim Kemarau
Cempaka Putih,2020-09-01,0,2020,9,September,Pancaroba II
Cempaka Putih,2020-10-01,0,2020,10,October,Pancaroba II
Cempaka Putih,2020-11-01,2,2020,11,November,Pancaroba II
Cempaka Putih,2020-12-01,0,2020,12,December,Musim Hujan
Cempaka Putih,2021-01-01,1,2021,1,January,Musim Hujan
Cempaka Putih,2021-02-01,1,2021,2,February,Musim Hujan
Cempaka Putih,2021-03-01,2,2021,3,March,Pancaroba I
Cempaka Putih,2021-04-01,1,2021,4,April,Pancaroba I
Cempaka Putih,2021-05-01,2,2021,5,May,Pancaroba I
Cempaka Putih,2021-06-01,6,2021,6,June,Musim Kemarau
Cempaka Putih,2021-07-01,0,2021,7,July,Musim Kemarau
Cempaka Putih,2021-08-01,3,2021,8,August,Musim Kemarau
Cempaka Putih,2021-09-01,2,2021,9,September,Pancaroba II
Cempaka Putih,2021-10-01,3,2021,10,October,Pancaroba II
Cempaka Putih,2021-11-01,0,2021,11,November,Pancaroba II
Cempaka Putih,2021-12-01,4,2021,12,December,Musim Hujan
Cempaka Putih,2022-01-01,4,2022,1,January,Musim Hujan
Cempaka Putih,2022-02-01,7,2022,2,February,Musim Hujan
Cempaka Putih,2022-03-01,18,2022,3,March,Pancaroba I
Cempaka Putih,2022-04-01,11,2022,4,April,Pancaroba I
Cempaka Putih,2022-05-01,25,2022,5,May,Pancaroba I
Cempaka Putih,2022-06-01,14,2022,6,June,Musim Kemarau
Cempaka Putih,2022-07-01,21,2022,7,July,Musim Kemarau
Cempaka Putih,2022-08-01,12,2022,8,August,Musim Kemarau
Cempaka Putih,2022-09-01,7,2022,9,September,Pancaroba II
Cempaka Putih,2022-10-01,5,2022,10,October,Pancaroba II
Cempaka Putih,2022-11-01,8,2022,11,November,Pancaroba II
Cempaka Putih,2022-12-01,10,2022,12,December,Musim Hujan
Cempaka Putih,2023-01-01,12,2023,1,January,Musim Hujan
Cempaka Putih,2023-02-01,9,2023,2,February,Musim Hujan
Cempaka Putih,2023-03-01,18,2023,3,March,Pancaroba I
Cempaka Putih,2023-04-01,8,2023,4,April,Pancaroba I
Cempaka Putih,2023-05-01,12,2023,5,May,Pancaroba I
Cempaka Putih,2023-06-01,9,2023,6,June,Musim Kemarau
Cempaka Putih,2023-07-01,6,2023,7,July,Musim Kemarau
Cempaka Putih,2023-08-01,1,2023,8,August,Musim Kemarau
Cempaka Putih,2023-09-01,2,2023,9,September,Pancaroba II
Cempaka Putih,2023-10-01,0,2023,10,October,Pancaroba II
Cempaka Putih,2023-11-01,2,2023,11,November,Pancaroba II
Cempaka Putih,2023-12-01,0,2023,12,December,Musim Hujan
Cempaka Putih,2024-01-01,4,2024,1,January,Musim Hujan
Cempaka Putih,2024-02-01,2,2024,2,February,Musim Hujan
Cempaka Putih,2024-03-01,16,2024,3,March,Pancaroba I
Cempaka Putih,2024-04-01,42,2024,4,April,Pancaroba I
Cempaka Putih,2024-05-01,46,2024,5,May,Pancaroba I
Cempaka Putih,2024-06-01,16,2024,6,June,Musim Kemarau
Cempaka Putih,2024-07-01,17,2024,7,July,Musim Kemarau
Cempaka Putih,2024-08-01,21,2024,8,August,Musim Kemarau
Cempaka Putih,2024-09-01,4,2024,9,September,Pancaroba II
Cempaka Putih,2024-10-01,8,2024,10,October,Pancaroba II
Cempaka Putih,2024-11-01,6,2024,11,November,Pancaroba II
Cempaka Putih,2024-12-01,12,2024,12,December,Musim Hujan
Cempaka Putih,2025-01-01,25,2025,1,January,Musim Hujan
Cempaka Putih,2025-02-01,24,2025,2,February,Musim Hujan
Cempaka Putih,2025-03-01,33,2025,3,March,Pancaroba I
Cempaka Putih,2025-04-01,35,2025,4,April,Pancaroba I
Cempaka Putih,2025-05-01,30,2025,5,May,Pancaroba I
Cempaka Putih,2025-06-01,23,2025,6,June,Musim Kemarau
Cempaka Putih,2025-07-01,16,2025,7,July,Musim Kemarau
Cempaka Putih,2025-08-01,20,2025,8,August,Musim Kemarau
Cempaka Putih,2025-09-01,11,2025,9,September,Pancaroba II
Cempaka Putih,2025-10-01,4,2025,10,October,Pancaroba II
Cempaka Putih,2025-11-01,3,2025,11,November,Pancaroba II
Cempaka Putih,2025-12-01,0,2025,12,December,Musim Hujan
Cengkareng,2010-01-01,35,2010,1,January,Musim Hujan
Cengkareng,2010-02-01,67,2010,2,February,Musim Hujan
Cengkareng,2010-03-01,140,2010,3,March,Pancaroba I
Cengkareng,2010-04-01,120,2010,4,April,Pancaroba I
Cengkareng,2010-05-01,87,2010,5,May,Pancaroba I
Cengkareng,2010-06-01,80,2010,6,June,Musim Kemarau
Cengkareng,2010-07-01,107,2010,7,July,Musim Kemarau
Cengkareng,2010-08-01,101,2010,8,August,Musim Kemarau
Cengkareng,2010-09-01,86,2010,9,September,Pancaroba II
Cengkareng,2010-10-01,64,2010,10,October,Pancaroba II
Cengkareng,2010-11-01,69,2010,11,November,Pancaroba II
Cengkareng,2010-12-01,58,2010,12,December,Musim Hujan
Cengkareng,2011-01-01,69,2011,1,January,Musim Hujan
Cengkareng,2011-02-01,36,2011,2,February,Musim Hujan
Cengkareng,2011-03-01,32,2011,3,March,Pancaroba I
Cengkareng,2011-04-01,19,2011,4,April,Pancaroba I
Cengkareng,2011-05-01,26,2011,5,May,Pancaroba I
Cengkareng,2011-06-01,22,2011,6,June,Musim Kemarau
Cengkareng,2011-07-01,16,2011,7,July,Musim Kemarau
Cengkareng,2011-08-01,21,2011,8,August,Musim Kemarau
Cengkareng,2011-09-01,14,2011,9,September,Pancaroba II
Cengkareng,2011-10-01,9,2011,10,October,Pancaroba II
Cengkareng,2011-11-01,17,2011,11,November,Pancaroba II
Cengkareng,2011-12-01,11,2011,12,December,Musim Hujan
Cengkareng,2012-01-01,48,2012,1,January,Musim Hujan
Cengkareng,2012-02-01,54,2012,2,February,Musim Hujan
Cengkareng,2012-03-01,61,2012,3,March,Pancaroba I
Cengkareng,2012-04-01,29,2012,4,April,Pancaroba I
Cengkareng,2012-05-01,34,2012,5,May,Pancaroba I
Cengkareng,2012-06-01,27,2012,6,June,Musim Kemarau
Cengkareng,2012-07-01,33,2012,7,July,Musim Kemarau
Cengkareng,2012-08-01,23,2012,8,August,Musim Kemarau
Cengkareng,2012-09-01,15,2012,9,September,Pancaroba II
Cengkareng,2012-10-01,8,2012,10,October,Pancaroba II
Cengkareng,2012-11-01,14,2012,11,November,Pancaroba II
Cengkareng,2012-12-01,12,2012,12,December,Musim Hujan
Cengkareng,2013-01-01,33,2013,1,January,Musim Hujan
Cengkareng,2013-02-01,33,2013,2,February,Musim Hujan
Cengkareng,2013-03-01,50,2013,3,March,Pancaroba I
Cengkareng,2013-04-01,78,2013,4,April,Pancaroba I
Cengkareng,2013-05-01,81,2013,5,May,Pancaroba I
Cengkareng,2013-06-01,38,2013,6,June,Musim Kemarau
Cengkareng,2013-07-01,57,2013,7,July,Musim Kemarau
Cengkareng,2013-08-01,68,2013,8,August,Musim Kemarau
Cengkareng,2013-09-01,47,2013,9,September,Pancaroba II
Cengkareng,2013-10-01,37,2013,10,October,Pancaroba II
Cengkareng,2013-11-01,29,2013,11,November,Pancaroba II
Cengkareng,2013-12-01,17,2013,12,December,Musim Hujan
Cengkareng,2014-01-01,31,2014,1,January,Musim Hujan
Cengkareng,2014-02-01,44,2014,2,February,Musim Hujan
Cengkareng,2014-03-01,92,2014,3,March,Pancaroba I
Cengkareng,2014-04-01,112,2014,4,April,Pancaroba I
Cengkareng,2014-05-01,92,2014,5,May,Pancaroba I
Cengkareng,2014-06-01,62,2014,6,June,Musim Kemarau
Cengkareng,2014-07-01,58,2014,7,July,Musim Kemarau
Cengkareng,2014-08-01,77,2014,8,August,Musim Kemarau
Cengkareng,2014-09-01,29,2014,9,September,Pancaroba II
Cengkareng,2014-10-01,21,2014,10,October,Pancaroba II
Cengkareng,2014-11-01,6,2014,11,November,Pancaroba II
Cengkareng,2014-12-01,23,2014,12,December,Musim Hujan
Cengkareng,2015-01-01,40,2015,1,January,Musim Hujan
